date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:32	44646/44646	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/index.html?	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/indexd41d.html	(from )
21:01:32	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Apr%202020%2013:35:32%20GMT	https://themesdesign.in/robots.txt		(from )
21:01:33	16958/16958	---MCZ	200	added ('OK')	image/x-icon	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/assets/images/favicon.ico	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/images/favicon.ico	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:36	433/433	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/plugins/morris/morris.css	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/plugins/morris/morris.css	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:37	2184/2184	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/assets/css/metismenu.min.css	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/css/metismenu.min.css	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:37	159515/159515	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/css/bootstrap.min.css	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:38	72381/72381	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/assets/css/style.css	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/css/style.css	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:39	288328/288328	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/assets/css/icons.css	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/css/icons.css	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:42	44646/44646	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/index.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/index.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:42	2323/2323	---M--	200	added ('OK')	image/jpeg	etag:%225d31b167-913%22	https://themesdesign.in/stexo/layouts/vertical/assets/images/flags/us_flag.jpg	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/images/flags/us_flag.jpg	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:42	1546/1546	---M--	200	added ('OK')	image/jpeg	etag:%225d31b167-60a%22	https://themesdesign.in/stexo/layouts/vertical/assets/images/flags/french_flag.jpg	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/images/flags/french_flag.jpg	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:43	2006/2006	---M--	200	added ('OK')	image/jpeg	etag:%225d31b167-7d6%22	https://themesdesign.in/stexo/layouts/vertical/assets/images/flags/spain_flag.jpg	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/images/flags/spain_flag.jpg	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:43	1475/1475	---M--	200	added ('OK')	image/jpeg	etag:%225d31b167-5c3%22	https://themesdesign.in/stexo/layouts/vertical/assets/images/flags/russia_flag.jpg	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/images/flags/russia_flag.jpg	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:44	1536/1536	---M--	200	added ('OK')	image/jpeg	etag:%225d31b167-600%22	https://themesdesign.in/stexo/layouts/vertical/assets/images/flags/germany_flag.jpg	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/images/flags/germany_flag.jpg	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:44	1543/1543	---M--	200	added ('OK')	image/jpeg	etag:%225d31b167-607%22	https://themesdesign.in/stexo/layouts/vertical/assets/images/flags/italy_flag.jpg	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/images/flags/italy_flag.jpg	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:44	3825/3825	---M--	200	added ('OK')	image/jpeg	etag:%225d31b167-ef1%22	https://themesdesign.in/stexo/layouts/vertical/assets/images/users/user-4.jpg	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/assets/images/users/user-4.jpg	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:45	72118/72118	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/email-inbox.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/email-inbox.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:47	38128/38128	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/email-read.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/email-read.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:47	27850/27850	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/email-compose.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/email-compose.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:47	26316/26316	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/calendar.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/calendar.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:47	31596/31596	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-pricing.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-pricing.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:48	34116/34116	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-invoice.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-invoice.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:49	30476/30476	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-timeline.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-timeline.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:49	29362/29362	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-faqs.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-faqs.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:49	4055/4055	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-maintenance.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-maintenance.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:50	3928/3928	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-comingsoon.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-comingsoon.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:50	23512/23512	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-starter.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-starter.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:50	4572/4572	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-login.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-login.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:50	4660/4660	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-register.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-register.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:51	3431/3431	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-recoverpw.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-recoverpw.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:51	3477/3477	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-lock-screen.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-lock-screen.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:51	2832/2832	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-404.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-404.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:51	2834/2834	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2012:02:47%20GMT	https://themesdesign.in/stexo/layouts/vertical/pages-500.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/pages-500.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:53	36836/36836	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/ui-alerts.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/ui-alerts.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:53	27953/27953	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/ui-badge.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/ui-badge.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:54	37481/37481	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/ui-buttons.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/ui-buttons.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:55	54717/54717	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/ui-cards.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/ui-cards.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
21:01:56	59061/59061	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2013:53:02%20GMT	https://themesdesign.in/stexo/layouts/vertical/ui-dropdowns.html	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/ui-dropdowns.html	(from https://themesdesign.in/stexo/layouts/vertical/index.html?)
